Name,trajectnaam nieuw 2024,trajectnaam 2023,raai,afstand,RD X,RD Y,Gebruik,Opmerking
"Hierd4, geschrapt 1, 50",Hierd4,Hierd3,geschrapt 1,50,176749.7,481807.2,Droog bos,
"Hierd4, geschrapt 1, 100",Hierd4,Hierd3,geschrapt 1,100,176799.7,481803.2,Droog bos,
"Hierd4, geschrapt 1, 150",Hierd4,Hierd3,geschrapt 1,150,176849.7,481801.2,Droog bos,
"Hierd2, 5, 0",Hierd2,Hierd1,5,0,177119.48,481125.68,"Deels open, doorstroommoeras",
"Hierd2, 5, 25",Hierd2,Hierd1,5,25,177142.48,481135.68,"Deels open, doorstroommoeras",
"Hierd2, 5, 50",Hierd2,Hierd1,5,50,177165.48,481145.68,"Deels open, doorstroommoeras",
"Hierd2, 5, 100",Hierd2,Hierd1,5,100,177211.48,481165.68,"Deels open, doorstroommoeras",
"Hierd2, 5, 150",Hierd2,Hierd1,5,150,177257.58,481185.68,"Deels open, doorstroommoeras",
"Hierd2, 4, 0",Hierd2,Hierd1,4,0,177139.48,481079.68,"Deels open, doorstroommoeras",
"Hierd2, 4, 25",Hierd2,Hierd1,4,25,177162.48,481089.68,"Deels open, doorstroommoeras",
"Hierd2, 4, 50",Hierd2,Hierd1,4,50,177185.48,481099.68,"Deels open, doorstroommoeras",
"Hierd2, 4, 100",Hierd2,Hierd1,4,100,177231.48,481119.68,"Deels open, doorstroommoeras",
"Hierd2, 4, 150",Hierd2,Hierd1,4,150,177277.58,481139.68,"Deels open, doorstroommoeras",
"Hierd2, 3, 0",Hierd2,Hierd1,3,0,177187.48,481059.68,"Deels open, doorstroommoeras",
"Hierd2, 3, 25",Hierd2,Hierd1,3,25,177210.48,481069.68,"Deels open, doorstroommoeras",
"Hierd2, 3, 50",Hierd2,Hierd1,3,50,177233.48,481079.68,"Deels open, doorstroommoeras",
"Hierd2, 3, 100",Hierd2,Hierd1,3,100,177279.48,481099.68,"Deels open, doorstroommoeras",
"Hierd2, 3, 150",Hierd2,Hierd1,3,150,177325.58,481119.68,"Deels open, doorstroommoeras",
"Hierd2, 2, 0",Hierd2,Hierd1,2,0,177222.48,481023.68,"Deels open, doorstroommoeras",
"Hierd2, 2, 25",Hierd2,Hierd1,2,25,177245.48,481033.68,"Deels open, doorstroommoeras",
"Hierd2, 2, 50",Hierd2,Hierd1,2,50,177268.48,481043.68,"Deels open, doorstroommoeras",
"Hierd2, 2, 100",Hierd2,Hierd1,2,100,177314.48,481063.68,"Deels open, doorstroommoeras",
"Hierd2, 2, 150",Hierd2,Hierd1,2,150,177360.58,481083.68,"Deels open, doorstroommoeras",
"Hierd2, 1, 0",Hierd2,Hierd1,1,0,177253.48,480983.68,"Deels open, doorstroommoeras",
"Hierd2, 1, 25",Hierd2,Hierd1,1,25,177276.48,480993.68,"Deels open, doorstroommoeras",
"Hierd2, 1, 50",Hierd2,Hierd1,1,50,177299.48,481003.68,"Deels open, doorstroommoeras",
"Hierd2, 1, 100",Hierd2,Hierd1,1,100,177345.48,481023.68,"Deels open, doorstroommoeras",
"Hierd2, 1, 150",Hierd2,Hierd1,1,150,177391.58,481043.68,"Deels open, doorstroommoeras",
"Hierd0, geschrapt 1, 0",Hierd0,Hierd0,geschrapt 1,0,177875.5,479555.1,"Nat, deels open",
"Hierd0, geschrapt 1, 25",Hierd0,Hierd0,geschrapt 1,25,177895.5,479570.1,"Nat, deels open",
"Hierd0, geschrapt 1, 50",Hierd0,Hierd0,geschrapt 1,50,177915.5,479585.1,"Nat, deels open",
"Hierd0, geschrapt 1, 100",Hierd0,Hierd0,geschrapt 1,100,177955.5,479615.1,"Nat, deels open",
"Hierd0, geschrapt 1, 150",Hierd0,Hierd0,geschrapt 1,150,177995.5,479645.1,"Nat, deels open",
"Hierd0, 1, 0",Hierd0,Hierd0,1,0,177846,479600.1,"Nat, deels open",
"Hierd0, 1, 25",Hierd0,Hierd0,1,25,177866,479615.1,"Nat, deels open",
"Hierd0, 1, 50",Hierd0,Hierd0,1,50,177886,479630.1,"Nat, deels open",
"Hierd0, 1, 100",Hierd0,Hierd0,1,100,177926,479660.1,"Nat, deels open",
"Hierd0, 1, 150",Hierd0,Hierd0,1,150,177966,479690.1,"Nat, deels open",
"Hierd0, 2, 0",Hierd0,Hierd0,2,0,177814.5,479642.1,"Nat, deels open",
"Hierd0, 2, 25",Hierd0,Hierd0,2,25,177834.5,479657.1,"Nat, deels open",
"Hierd0, 2, 50",Hierd0,Hierd0,2,50,177854.5,479672.1,"Nat, deels open",
"Hierd0, 2, 100",Hierd0,Hierd0,2,100,177894.5,479702.1,"Nat, deels open",
"Hierd0, 2, 150",Hierd0,Hierd0,2,150,177934.5,479732.1,"Nat, deels open",
"Hierd0, 3, 0",Hierd0,Hierd0,3,0,177783,479684.1,"Nat, deels open",
"Hierd0, 3, 25",Hierd0,Hierd0,3,25,177803,479699.1,"Nat, deels open",
"Hierd0, 3, 50",Hierd0,Hierd0,3,50,177823,479714.1,"Nat, deels open",
"Hierd0, 3, 100",Hierd0,Hierd0,3,100,177863,479744.1,"Nat, deels open",
"Hierd0, 3, 150",Hierd0,Hierd0,3,150,177903,479774.1,"Nat, deels open",
"Hierd0, 4, 0",Hierd0,Hierd0,4,0,177736.5,479704.1,"Nat, deels open",
"Hierd0, 4, 25",Hierd0,Hierd0,4,25,177756.5,479719.1,"Nat, deels open",
"Hierd0, 4, 50",Hierd0,Hierd0,4,50,177776.5,479734.1,"Nat, deels open",
"Hierd0, 4, 100",Hierd0,Hierd0,4,100,177816.5,479764.1,"Nat, deels open",
"Hierd0, 4, 150",Hierd0,Hierd0,4,150,177856.5,479794.1,"Nat, deels open",
"Hierd0, 5, 0",Hierd0,Hierd0,5,0,177690.5009,479725.1213,"Nat, deels open",
"Hierd0, 5, 25",Hierd0,Hierd0,5,25,177710.5009,479740.1213,"Nat, deels open",
"Hierd0, 5, 50",Hierd0,Hierd0,5,50,177730.5009,479755.1213,"Nat, deels open",
"Hierd0, 5, 100",Hierd0,Hierd0,5,100,177770.5009,479785.1213,"Nat, deels open",
"Hierd0, 5, 150",Hierd0,Hierd0,5,150,177810.5009,479815.1213,"Nat, deels open",
"Hierd0, geschrapt 5, 0",Hierd0,Hierd0,geschrapt 5,0,177645.4525,479750.432,"Nat, deels open",
"Hierd0, geschrapt 5, 25",Hierd0,Hierd0,geschrapt 5,25,177665.4525,479765.432,"Nat, deels open",
"Hierd0, geschrapt 5, 50",Hierd0,Hierd0,geschrapt 5,50,177685.4525,479780.432,"Nat, deels open",
"Hierd0, geschrapt 5, 100",Hierd0,Hierd0,geschrapt 5,100,177725.4525,479810.432,"Nat, deels open",
